Graph,Vertices,Edges,Chrom_Number,Time_Sec,Status
graphs\g_01_n20_p0.1_r0.txt,22,22,3,0.000000,Success
graphs\g_02_n20_p0.1_r1.txt,21,20,3,0.000000,Success
graphs\g_03_n20_p0.1_r2.txt,21,21,3,0.000000,Success
graphs\g_04_n20_p0.2_r0.txt,38,38,4,0.000000,Success
graphs\g_05_n20_p0.2_r1.txt,32,32,3,0.000000,Success
graphs\g_06_n20_p0.2_r2.txt,34,34,3,0.000000,Success
graphs\g_07_n20_p0.3_r0.txt,59,59,5,0.000000,Success
graphs\g_08_n20_p0.3_r1.txt,68,68,4,0.000000,Success
graphs\g_09_n20_p0.3_r2.txt,61,61,5,0.000000,Success
graphs\g_10_n30_p0.1_r0.txt,45,45,3,0.000000,Success
graphs\g_11_n30_p0.1_r1.txt,41,41,3,0.000000,Success
graphs\g_12_n30_p0.1_r2.txt,44,44,3,0.000000,Success
graphs\g_13_n30_p0.2_r0.txt,100,100,5,0.000000,Success
graphs\g_14_n30_p0.2_r1.txt,102,102,4,0.000000,Success
graphs\g_15_n30_p0.2_r2.txt,93,93,4,0.000000,Success
graphs\g_16_n30_p0.3_r0.txt,148,148,6,0.000000,Success
graphs\g_17_n30_p0.3_r1.txt,131,131,5,0.000000,Success
graphs\g_18_n30_p0.3_r2.txt,137,137,5,0.000000,Success
graphs\g_19_n40_p0.1_r0.txt,81,81,4,0.000000,Success
graphs\g_20_n40_p0.1_r1.txt,79,79,4,0.000000,Success
graphs\g_21_n40_p0.1_r2.txt,85,85,4,0.000000,Success
graphs\g_22_n40_p0.2_r0.txt,164,164,5,0.000000,Success
graphs\g_23_n40_p0.2_r1.txt,173,173,5,0.000000,Success
graphs\g_24_n40_p0.2_r2.txt,159,159,5,0.000000,Success
graphs\g_25_n40_p0.3_r0.txt,228,228,6,0.000000,Success
graphs\g_26_n40_p0.3_r1.txt,249,249,7,0.000000,Success
graphs\g_27_n40_p0.3_r2.txt,232,232,7,0.000000,Success
graphs\g_28_n50_p0.1_r0.txt,116,116,4,0.000000,Success
graphs\g_29_n50_p0.1_r1.txt,129,129,4,0.000000,Success
graphs\g_30_n50_p0.1_r2.txt,109,109,4,0.000000,Success
graphs\g_31_n50_p0.2_r0.txt,234,234,6,0.000000,Success
graphs\g_32_n50_p0.2_r1.txt,281,281,7,0.000000,Success
graphs\g_33_n50_p0.2_r2.txt,252,252,5,0.000000,Success
graphs\g_34_n50_p0.3_r0.txt,361,361,7,0.000000,Success
graphs\g_35_n50_p0.3_r1.txt,364,364,8,0.000000,Success
graphs\g_36_n50_p0.3_r2.txt,377,377,7,0.000000,Success
